,day,cals,type_meal,meal,link,title,Calories,Carbs,Fat,Protein,Fiber,receita,recipe
384,65,3027,Snack,Cottage Cheese with Spicy Tuna,https://www.eatthismuch.com/food/browse/?q=Cottage%20Cheese%20with%20Spicy%20Tuna,Cottage Cheese with Spicy Tuna,228.0,41.0,27.0,461.0,0.0,"https://www.eatthismuch.com/recipe/nutrition/cottage-cheese-with-spicy-tuna,332370/","https://www.eatthismuch.com/recipe/nutrition/cottage-cheese-with-spicy-tuna,332370/"
385,65,3027,Snack,Cinnamon Apple Bites,https://www.eatthismuch.com/food/browse/?q=Cinnamon%20Apple%20Bites,Cinnamon Apple Bites,81.0,216.0,2.0,5.0,28.0,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-apple-bites,39304/","https://www.eatthismuch.com/recipe/nutrition/cinnamon-apple-bites,39304/"
386,66,2976,Breakfast,Peanut Butter Protein Oats,https://www.eatthismuch.com/food/browse/?q=Peanut%20Butter%20Protein%20Oats,Peanut Butter Protein Oats,390.0,326.0,139.0,357.0,52.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/","https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/"
387,66,2976,Lunch,Spinach and Turkey Wrap,https://www.eatthismuch.com/food/browse/?q=Spinach%20and%20Turkey%20Wrap,Spinach and Turkey Wrap,290.0,273.0,133.0,154.0,19.0,"https://www.eatthismuch.com/recipe/nutrition/spinach-and-turkey-wrap,906881/","https://www.eatthismuch.com/recipe/nutrition/spinach-and-turkey-wrap,906881/"
388,66,2976,Lunch,Yogurt & Banana,https://www.eatthismuch.com/food/browse/?q=Yogurt%20Banana,Yogurt with Banana & Honey,377.0,621.0,64.0,226.0,38.0,"https://www.eatthismuch.com/recipe/nutrition/yogurt-with-banana-honey,412895/","https://www.eatthismuch.com/recipe/nutrition/yogurt-with-banana-honey,412895/"
389,66,2976,Dinner,Cheesy Chicken and Spinach,https://www.eatthismuch.com/food/browse/?q=Cheesy%20Chicken%20and%20Spinach,Cheesy Chicken and Spinach,508.0,77.0,247.0,622.0,24.0,"https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/","https://www.eatthismuch.com/recipe/nutrition/cheesy-chicken-and-spinach,33936/"
390,66,2976,Snack,Corn Flakes,https://www.eatthismuch.com/food/browse/?q=Corn%20Flakes,Corn Flakes,222.0,353.0,50.0,101.0,9.0,"https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/","https://www.eatthismuch.com/recipe/nutrition/corn-flakes,35465/"
391,66,2976,Snack,Granola,https://www.eatthismuch.com/food/browse/?q=Granola,Granola,139.0,151.0,68.0,42.0,26.0,"https://www.eatthismuch.com/recipe/nutrition/granola,473426/","https://www.eatthismuch.com/recipe/nutrition/granola,473426/"
392,67,3019,Breakfast,"""Reese's"" Chocolate and Peanut Butter Oatmeal","https://www.eatthismuch.com/food/browse/?q=""Reese's""%20Chocolate%20and%20Peanut%20Butter%20Oatmeal","""Reese's"" Chocolate and Peanut Butter Oatmeal",507.0,803.0,151.0,213.0,115.0,"https://www.eatthismuch.com/recipe/nutrition/reeses-chocolate-and-peanut-butter-oatmeal,906517/","https://www.eatthismuch.com/recipe/nutrition/reeses-chocolate-and-peanut-butter-oatmeal,906517/"
393,67,3019,Breakfast,Crispy Hash Browns,https://www.eatthismuch.com/food/browse/?q=Crispy%20Hash%20Browns,Crispy Hash Browns,342.0,500.0,142.0,59.0,36.0,"https://www.eatthismuch.com/recipe/nutrition/crispy-hash-browns,1497791/","https://www.eatthismuch.com/recipe/nutrition/crispy-hash-browns,1497791/"
394,67,3019,Lunch,Strawberry protein smoothie,https://www.eatthismuch.com/food/browse/?q=Strawberry%20protein%20smoothie,Tropical protein smoothie,425.0,769.0,22.0,284.0,57.0,"https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/","https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/"
395,67,3019,Lunch,"Cottage Cheese with Cucumbers, Basil, & Cilantro","https://www.eatthismuch.com/food/browse/?q=Cottage%20Cheese%20with%20Cucumbers,%20Basil,%20Cilantro","Cottage Cheese with Cucumbers, Basil, & Cilantro",172.0,82.0,24.0,285.0,4.0,"https://www.eatthismuch.com/recipe/nutrition/cottage-cheese-with-cucumbers-basil-cilantro,331991/","https://www.eatthismuch.com/recipe/nutrition/cottage-cheese-with-cucumbers-basil-cilantro,331991/"
396,67,3019,Dinner,Pasta with Corn and Chicken,https://www.eatthismuch.com/food/browse/?q=Pasta%20with%20Corn%20and%20Chicken,Pasta with Corn and Chicken,847.0,1281.0,229.0,413.0,184.0,"https://www.eatthismuch.com/recipe/nutrition/pasta-with-corn-and-chicken,3179496/","https://www.eatthismuch.com/recipe/nutrition/pasta-with-corn-and-chicken,3179496/"
397,67,3019,Dinner,Easy Hard-Boiled Eggs,https://www.eatthismuch.com/food/browse/?q=Easy%20Hard-Boiled%20Eggs,Easy Hard-Boiled Eggs,72.0,4.0,48.0,63.0,0.0,"https://www.eatthismuch.com/recipe/nutrition/easy-hard-boiled-eggs,36640/","https://www.eatthismuch.com/recipe/nutrition/easy-hard-boiled-eggs,36640/"
