,day,cals,type_meal,meal,link,title,Calories,Carbs,Fat,Protein,Fiber,receita,obs,Meal
54,9,2988,Lunch,Peanut Butter & Carrots,https://www.eatthismuch.com/food/browse/?q=Peanut%20Butter%20Carrots,Peanut Butter & Carrots,964.0,192.0,163.0,89.0,61.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-carrots,386810/>Peanut Butter & Carrots</a>"
55,9,2988,Dinner,Pasta with Red Sauce and Mozzarella,https://www.eatthismuch.com/food/browse/?q=Pasta%20with%20Red%20Sauce%20and%20Mozzarella,Pasta with Red Sauce and Mozzarella,1236.0,476.0,72.0,161.0,86.0,"https://www.eatthismuch.com/recipe/nutrition/pasta-with-red-sauce-and-mozzarella,907167/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/pasta-with-red-sauce-and-mozzarella,907167/>Pasta with Red Sauce and Mozzarella</a>"
56,9,2988,Snack,Basic protein shake,https://www.eatthismuch.com/food/browse/?q=Basic%20protein%20shake,Basic protein shake,242.0,147.0,58.0,320.0,0.0,"https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/basic-protein-shake,34528/>Basic protein shake</a>"
57,10,2986,Breakfast,Mixed Berry Morning Smoothie,https://www.eatthismuch.com/food/browse/?q=Mixed%20Berry%20Morning%20Smoothie,Mixed Berry Morning Smoothie,437.0,447.0,125.0,401.0,96.0,"https://www.eatthismuch.com/recipe/nutrition/mixed-berry-morning-smoothie,924568/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/mixed-berry-morning-smoothie,924568/>Mixed Berry Morning Smoothie</a>"
58,10,2986,Lunch,Strawberry protein smoothie,https://www.eatthismuch.com/food/browse/?q=Strawberry%20protein%20smoothie,Tropical protein smoothie,1700.0,769.0,22.0,284.0,57.0,"https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/tropical-protein-smoothie,34387/>Strawberry protein smoothie</a>"
59,10,2986,Dinner,Kielbasa and Cauliflower Stir-Fry,https://www.eatthismuch.com/food/browse/?q=Kielbasa%20and%20Cauliflower%20Stir-Fry,Kielbasa and Cauliflower Stir-Fry,2496.0,261.0,439.0,345.0,50.0,"https://www.eatthismuch.com/recipe/nutrition/kielbasa-and-cauliflower-stir-fry,907109/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/kielbasa-and-cauliflower-stir-fry,907109/>Kielbasa and Cauliflower Stir-Fry</a>"
60,10,2986,Dinner,Crispy Cheese Quesadilla,https://www.eatthismuch.com/food/browse/?q=Crispy%20Cheese%20Quesadilla,Crispy Cheese Quesadilla,1468.0,244.0,221.0,172.0,12.0,"https://www.eatthismuch.com/recipe/nutrition/crispy-cheese-quesadilla,905822/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/crispy-cheese-quesadilla,905822/>Crispy Cheese Quesadilla</a>"
61,10,2986,Snack,Turkey Sandwich,https://www.eatthismuch.com/food/browse/?q=Turkey%20Sandwich,Turkey Sausage and Pesto Breakfast Sandwich,259.0,266.0,125.0,103.0,24.0,"https://www.eatthismuch.com/recipe/nutrition/turkey-sausage-and-pesto-breakfast-sandwich,906514/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/turkey-sausage-and-pesto-breakfast-sandwich,906514/>Turkey Sandwich</a>"
62,11,2973,Breakfast,Peanut Butter Protein Oats,https://www.eatthismuch.com/food/browse/?q=Peanut%20Butter%20Protein%20Oats,Peanut Butter Protein Oats,390.0,326.0,139.0,357.0,52.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-protein-oats,905819/>Peanut Butter Protein Oats</a>"
63,11,2973,Lunch,Peanut butter and jelly,https://www.eatthismuch.com/food/browse/?q=Peanut%20butter%20and%20jelly,Peanut butter and jelly,1484.0,417.0,184.0,124.0,53.0,"https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/peanut-butter-and-jelly,33486/>Peanut butter and jelly</a>"
